_ - value	_ - itemLabel
3TTbkikkCAbUg2j5i9UrTV	:wumpscut:
5fusKutKxP2dLQizfm055B	!T.O.O.H.!
0rWmH68lIyVOGYhhvayFzu	...And Oceans
6wBUn8gMP85n8dPu6LoUcF	...And You Will Know Us by the Trail of Dead
1bDWGdIC2hardyt55nlQgG	"""Weird Al"" Yankovic"
5PoJhiT21fXvZitg3guhiJ	(Me Llamo) Sebastián
0h0C8mMT21p0Ixq6qO1UMH	$tupid Young
1VPmR4DJC1PlOtd0IADAO0	$uicideboy$
09nnt8eDrHlZtp6XPusqaN	018
0A6WBpDrr0afYnqRMvc7OC	091
4UpeJIU7RBB0RG7IiXP9D2	1.8.7
0MBIKH9DjtBkv8O3nS6szj	10,000 Maniacs
6i6WlGzQtXtz7GcC5H5st5	10cc
0REMf7H0VP6DwfZ9MbuWph	10 Years
5skZhjSLizA2G1bJQp2iNM	1280 almas
10IEq1exwSe2ufn6DNjQsN	1976
11W6wRK9qIRVz2gaNj3RHu	1977
4zvj6YIQxg7KzWo2ubjZNs	1991
4BO4WakDUylteBK2FfK5SF	1NB
5Z7ZS3IjRE9aKEEKJzWc7A	21. Peron
7tn9UjhRgGnDjOWOXuzIgZ	22/7
0kBYN573VwBzQ8xL8G0ECD	22 Cats
3amFG2AzKgYyY7jBHuHuew	25 ta Life
17lzZA2AlOHwCwFALHttmp	2 Chainz
2nBDxj7O33BO2G22JboHLS	2KG
7DW2re4XZsILdmf47ATjUF	2Ru3 (true)
3pLS7n1EViUddhOv6FruBk	2 Times Terror
0hackU3l6hcL7GwBcZP4t5	2 Wolves
0x7xShuJZEJ3rCaUqUdtyo	33.10.3402
7xGU2Tlj066P96RkJ6V3dX	33.10.3402
7EjNtWn7JwxvaAW6rQasIw	33.10.3402
2RTUTCvo6onsAnheUk3aL9	3 Doors Down
2EgONoO8gQPmF5bh4IxxPD	3 Hür-El
4YLQaW1UU3mrVetC8gNkg5	3LAU
69jNq4RZ3PvQJvMeqtdz7O	40mP
7swtUG7Md62y3wP2huMeab	45 Grave
5nxFmhSekt9Acn4tWZxGge	47Soul
16XC8voDLIu8VCMeUsoOjh	4SHO
3q7HBObVc0L8jNeTe5Gofh	50 Cent
47DmMEKCSmuLRBei8xSIgc	55 Fifty Five
6dbSCjvgfuH0pxONqzmrAE	5GANG
6ZMLkcfjNwPGCAlL7LvMyr	5K HD
5Rl15oVamLq7FbSb0NNBNy	5 Seconds of Summer
474vCyU4vJtglMQYD7Nffb	6. Cadde
7gZfnEnfiaHzxARJ2LeXrf	6ix9ine
5AUIOCOwfhbmaASDMPjvhw	6ixth Sense
4IVAbR2w4JJNJDDRFP3E83	6lack
3L4gzM6VTeIDMBTIMbJirs	80 Kalibre
7JCJA9JUFT138Nuivyxp9n	90BPM
6UutrZLgQq11DDGFE8HN9Z	999999999
3v0nHmnUcf9GAhjQOTctQu	9mm Parabellum Bullet
6eoz7BtTcC5Q303xQtSgj9	A.N.I.M.A.L.
1mYsTxnqsietFxj1OgoGbG	A. R. Rahman
5dHt1vcEm9qb8fCyLcB3HL	A$AP Ferg
13ubrt8QOOCPljQ2FL1Kca	A$AP Rocky
0urTpYCsixqZwgNTkPJOJ4	Aaliyah
2tt3u8V6gNUHjzgLqwhmgP	äänijännite
5338fdSzGNOFD4cxAxDTeq	Aaron Carter
0nJvyjVTb8sAULPYyA1bqU	Aaron Copland
37UrMzgmpRLmvVbJwcriPV	Aaron Embry
0oM8RWZXhJYSnzGdepP7fM	Aaron Shust
0LcJLqbBmaGUft1e9Mm8HV	ABBA
4vhgCDK6RHCBN6P3jPQlZX	Abbacadabra
06ZnpDN0sw3qvEh6gLM1X1	Abby the Spoon Lady
2QQSSVIEbt22n6kuBmNI7Z	Abdul Halim Jaffer Khan
4I6o18r2yZX6x96EHq8xNv	Abel Aznar
6HTUcOExehqydqa7C3usAa	Abel Pintos
5zQb1cp5MYxWXaAMeGaKsy	Abhinav Khairnar
2z3mU4wB32nO8LS4zefH2s	Abominator
31W5EY0aAly4Qieq6OFu6I	A Boogie wit da Hoodie
2bxxlINUlcMQQb39K7IopR	Abraham Mateo
5DD56TbdQI5Xe9c8YSiTj5	Absolutely Free
0g9vAlRPK9Gt3FKCekk4TW	Ab-Soul
3eVkhnD2UKVjX5uiUsqfXP	Absu
6ADJMeF7sOXJXwhQftDlhZ	Abunai!
11sf6irD9vKDis51a7V8OK	Abyssos
